ts_s,tok_per_s,tflops,peak_gb
15.1,95224.1,5.4204,2.378
30.2,94450.4,5.3763,2.378
45.3,94450.7,5.3763,2.378
60.4,94372.6,5.3719,2.378
75.5,94517.2,5.3801,2.378
90.6,94410.1,5.3740,2.378
105.7,94431.8,5.3753,2.378
120.8,94430.1,5.3752,2.378
135.9,94430.9,5.3752,2.378
151.0,94464.7,5.3771,2.378
166.1,94458.3,5.3768,2.378
181.2,94390.9,5.3729,2.378
196.3,94445.5,5.3760,2.378
211.4,94428.7,5.3751,2.378
226.4,94498.2,5.3790,2.378
241.5,94449.1,5.3763,2.378
256.6,94477.3,5.3779,2.378
271.7,94402.8,5.3736,2.378
286.8,94399.6,5.3734,2.378
301.9,94447.7,5.3762,2.378
317.0,94492.0,5.3787,2.378
332.1,94423.1,5.3748,2.378
347.2,94406.5,5.3738,2.378
362.3,94523.8,5.3805,2.378
377.4,94449.7,5.3763,2.378
392.5,94434.0,5.3754,2.378
407.6,94427.2,5.3750,2.378
422.6,94475.9,5.3778,2.378
437.7,94388.9,5.3728,2.378
452.8,89329.5,5.0848,2.378
467.9,94399.2,5.3734,2.378
483.0,94551.5,5.3821,2.378
498.1,94439.9,5.3757,2.378
513.1,94461.1,5.3769,2.378
528.2,94462.3,5.3770,2.378
543.3,94420.5,5.3746,2.378
558.4,94421.1,5.3747,2.378
573.5,94520.1,5.3803,2.378
588.6,94437.8,5.3756,2.378
