ts_s,tok_per_s,tflops,peak_gb
15.1,59519.5,6.3041,3.688
30.2,58785.2,6.2264,3.688
45.2,58856.3,6.2339,3.688
60.3,58725.5,6.2200,3.688
75.4,58727.0,6.2202,3.688
90.4,58706.3,6.2180,3.688
105.5,58742.1,6.2218,3.688
120.6,58695.3,6.2168,3.688
135.6,58722.2,6.2197,3.688
150.7,58722.3,6.2197,3.688
165.8,58697.0,6.2170,3.688
180.8,58719.2,6.2194,3.688
195.9,58698.7,6.2172,3.688
211.0,58693.0,6.2166,3.688
226.1,58681.0,6.2153,3.688
241.1,58652.4,6.2123,3.688
256.2,58664.4,6.2136,3.688
271.3,58704.0,6.2178,3.688
286.4,58687.1,6.2160,3.688
301.5,58610.6,6.2079,3.688
316.6,58615.9,6.2084,3.688
331.6,58669.0,6.2141,3.688
346.7,58607.0,6.2075,3.688
361.8,58532.9,6.1996,3.688
377.0,58546.8,6.2011,3.688
392.1,58580.1,6.2046,3.688
407.2,58618.4,6.2087,3.688
422.2,58626.3,6.2095,3.688
437.3,58719.3,6.2194,3.688
452.4,58532.0,6.1995,3.688
467.6,58483.2,6.1944,3.688
482.7,58597.5,6.2065,3.688
497.8,58539.3,6.2003,3.688
512.9,58539.1,6.2003,3.688
528.0,58527.2,6.1990,3.688
543.1,58528.6,6.1992,3.688
558.2,58534.4,6.1998,3.688
573.3,58530.5,6.1994,3.688
588.4,58732.1,6.2207,3.688
603.5,58663.7,6.2135,3.688
618.6,58739.5,6.2215,3.688
633.6,58690.3,6.2163,3.688
648.7,58756.2,6.2233,3.688
663.7,58813.7,6.2294,3.688
678.8,58829.1,6.2310,3.688
693.8,58832.7,6.2314,3.688
708.8,58833.6,6.2315,3.688
723.9,58861.8,6.2345,3.688
738.9,58853.2,6.2336,3.688
753.9,58853.4,6.2336,3.688
769.0,58852.1,6.2334,3.688
784.0,58876.8,6.2361,3.688
799.0,58853.8,6.2336,3.688
814.1,58852.0,6.2334,3.688
829.6,44442.8,4.7073,3.688
845.2,21941.8,2.3240,3.688
860.9,21924.5,2.3222,3.688
876.6,21912.7,2.3209,3.688
892.3,21920.5,2.3218,3.688
908.0,21916.7,2.3214,3.688
923.7,21924.3,2.3222,3.688
939.4,21926.6,2.3224,3.688
955.1,21958.3,2.3258,3.688
970.8,21914.7,2.3211,3.688
986.5,21913.9,2.3211,3.688
1002.2,21935.6,2.3234,3.688
1017.9,21926.7,2.3224,3.688
1033.6,21917.7,2.3215,3.688
1049.3,21893.0,2.3188,3.688
1065.0,21899.6,2.3195,3.688
1080.7,21900.1,2.3196,3.688
1096.4,21924.6,2.3222,3.688
1112.1,21924.0,2.3221,3.688
1127.8,21934.5,2.3232,3.688
1143.4,21934.5,2.3232,3.688
1159.1,21912.7,2.3209,3.688
1174.8,21913.9,2.3211,3.688
1190.6,21905.4,2.3202,3.688
